NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,county,State,Year
"Terrebonne Parish, Louisiana",112742,35.2,2.78,24271,7136,80307,20896,5230,55725,57017,4174,1494,4015,1021,44363,40086,4277,28736,11350,137000,860,29962,435,1252,44363,13999,1511,4277,40086,47826,23626,2841,51375,21627,110879,48450,508,46594,47735,22,109,Louisiana,2015
"Calcasieu Parish, Louisiana",195887,36.1,2.55,38913,18395,138693,48781,5736,95567,100320,6789,2408,6519,2158,84954,75325,9629,51678,23647,124600,758,58161,961,3004,84954,26908,2818,9629,75325,45312,25005,7844,94824,32864,192124,86840,838,83223,84743,22,019,Louisiana,2015
"Claiborne Parish, Louisiana",16639,42.2,2.51,3717,1018,7742,8347,228,9524,7115,436,428,682,246,7760,5852,1908,4082,1770,73700,617,5359,65,154,7760,1546,69,1908,5852,32072,17547,860,6356,4058,14673,5494,217,5322,5403,22,027,Louisiana,2015
"Avoyelles Parish, Louisiana",41389,38.2,2.52,9376,1766,27741,12336,705,20692,20697,1422,363,1496,498,18157,14943,3214,10443,4500,89500,612,13134,115,651,18157,4692,201,3214,14943,33739,18967,1598,16622,8750,37742,14998,247,14351,14674,22,009,Louisiana,2015
"Assumption Parish, Louisiana",23057,39.3,2.64,5067,1159,15682,6885,544,11206,11851,651,298,621,335,10470,8660,1810,6950,1710,107300,626,7014,27,113,10470,2803,266,1810,8660,49167,23886,1080,10487,3643,22806,9407,72,9060,9178,22,007,Louisiana,2015
"Pointe Coupee Parish, Louisiana",22498,42.6,2.56,5779,1496,13961,8077,540,10757,11741,710,228,619,197,11257,8726,2531,6713,2013,115800,566,8186,72,175,11257,2916,358,2531,8726,43825,25024,819,9924,4368,22338,9105,94,8549,8784,22,077,Louisiana,2015
"Vermilion Parish, Louisiana",59110,36.7,2.69,13328,3696,47938,8358,1772,28523,30587,2145,673,1839,511,25722,21796,3926,16398,5398,98100,631,18279,218,380,25722,7026,430,3926,21796,45374,23261,2323,27339,10379,58278,25011,264,23901,24517,22,113,Louisiana,2015
"Lafourche Parish, Louisiana",97474,36.6,2.68,21210,6609,77533,13015,4153,47888,49586,3281,1334,3496,760,39418,35592,3826,26975,8617,133200,720,28198,474,614,39418,12869,1392,3826,35592,51030,25303,3298,46863,14117,95143,43542,370,40978,42041,22,057,Louisiana,2015
"Concordia Parish, Louisiana",20449,38.3,2.33,4365,1089,11837,8430,239,10375,10074,687,178,694,279,9418,7896,1522,4711,3185,77400,494,6256,44,175,9418,1942,102,1522,7896,29654,17498,937,8015,5598,18334,7078,291,6792,6929,22,029,Louisiana,2015
"LaSalle Parish, Louisiana",14899,38.6,2.46,3425,869,12943,1671,581,7702,7197,470,197,565,162,6581,5551,1030,4347,1204,70300,523,4544,2,173,6581,1797,93,1030,5551,37310,20818,360,5714,2857,13626,5354,127,5038,5214,22,059,Louisiana,2015
"New Haven County, Connecticut",860874,39.8,2.55,160135,109536,644385,110829,144549,415286,445588,23400,13327,26926,8920,362497,326487,36010,203568,122919,244000,1075,194120,17822,35034,362497,139965,28696,36010,326487,62715,33706,39391,461510,106796,834779,421566,13462,397435,414017,09,009,Connecticut,2016
"Litchfield County, Connecticut",185141,46.4,2.45,34928,26729,172643,3154,10003,91469,93672,4087,2193,4586,2343,87450,74339,13111,57013,17326,249500,967,64614,3308,6446,87450,39124,8764,13111,74339,73519,38859,7055,105511,12706,183040,98430,1488,91014,96122,09,005,Connecticut,2016
"Hartford County, Connecticut",895699,40.2,2.50,146351,129822,648438,120439,151355,434485,461214,24508,12317,28856,8862,374672,347207,27465,222638,124569,234900,1016,206409,21984,29531,374672,154295,30726,27465,347207,68027,36570,39733,482731,100830,871828,442625,16013,417182,433633,09,003,Connecticut,2016
"New London County, Connecticut",272033,40.9,2.44,50598,33597,221407,15526,26701,136190,135843,7123,4080,8363,3094,121426,106170,15256,70136,36034,241500,1039,78706,5046,9148,121426,47434,8658,15256,106170,67574,35531,11221,152507,25645,259970,134545,3833,131904,138562,09,011,Connecticut,2016
"Tolland County, Connecticut",151689,37.8,2.48,22211,20999,135217,4560,7629,75894,75795,2987,4831,4089,1576,58574,54573,4001,39679,14894,247800,1061,41006,2359,2688,58574,27396,5649,4001,54573,80129,36364,5381,85997,9223,135726,80477,1669,73404,76855,09,013,Connecticut,2016
"Fairfield County, Connecticut",941618,39.9,2.75,128390,165089,694622,107282,175480,458490,483128,27442,13407,27732,9022,364737,335209,29528,226707,108502,413400,1385,211004,25211,31848,364737,161032,37426,29528,335209,86670,51719,41921,510737,81553,923385,468570,7252,432219,458236,09,001,Connecticut,2016
"Windham County, Connecticut",117078,40.7,2.52,22319,11675,105140,2692,12735,58044,59034,3077,1889,3531,1260,49165,44261,4904,30940,13321,196900,852,32912,2088,4110,49165,21909,4419,4904,44261,60689,28663,5393,64506,12518,111787,58997,2985,54557,56779,09,015,Connecticut,2016
"Middlesex County, Connecticut",164438,44.7,2.39,28861,26923,146228,8214,9276,80412,84026,3689,2265,4271,1922,75277,66467,8810,49542,16925,283800,1101,53465,2821,4347,75277,34331,7085,8810,66467,79837,42573,4910,93561,11193,159157,88478,1410,82751,87312,09,007,Connecticut,2016
"Vernon Parish, Louisiana",52101,30.1,2.83,9500,3973,39884,7476,4766,27428,24673,2401,799,2280,395,21719,17789,3930,9567,8222,107900,934,10675,1386,1485,21719,4366,196,3930,17789,46561,22297,1589,24282,7286,50258,17716,380,21753,22200,22,115,Louisiana,2016
"Sabine Parish, Louisiana",24144,40.8,2.64,5693,1464,16992,4043,882,12018,12126,816,274,739,401,14433,8984,5449,6928,2056,78900,492,7805,76,340,14433,2577,150,5449,8984,39372,22725,944,9680,4612,23697,8730,68,7982,8226,22,085,Louisiana,2016
"Jefferson Davis Parish, Louisiana",31399,38.0,2.67,7405,1922,25191,5177,679,15351,16048,1078,483,988,383,13596,11554,2042,8216,3338,97600,572,10231,210,339,13596,3580,242,2042,11554,39202,22665,1193,13997,6020,30683,12790,181,12290,12562,22,053,Louisiana,2016
"West Feliciana Parish, Louisiana",15384,39.6,3.15,2347,1497,8192,7004,241,9325,6059,276,821,645,274,5249,3879,1370,2933,946,197700,789,3622,21,97,5249,1499,126,1370,3879,53364,22335,609,5826,1923,12343,5217,33,5010,5099,22,125,Louisiana,2016
"Bienville Parish, Louisiana",13924,42.3,2.37,3472,803,7740,5765,246,6712,7212,425,169,357,172,7731,5738,1993,4102,1636,78300,479,4807,19,144,7731,1572,49,1993,5738,35722,22123,579,5794,3406,13597,5210,125,4939,5104,22,013,Louisiana,2016
"Cameron Parish, Louisiana",6739,40.9,2.54,1448,572,6424,107,342,3290,3449,167,83,181,119,3641,2653,988,2385,268,94800,766,2309,37,0,3641,1030,71,988,2653,65679,31007,120,3410,601,6734,3264,22,3154,3219,22,023,Louisiana,2016
"Plaquemines Parish, Louisiana",23584,36.3,2.69,4762,1694,16385,4887,1465,11585,11999,840,303,775,216,9866,8644,1222,6052,2592,153700,1000,5124,535,450,9866,2822,391,1222,8644,50251,25359,401,10992,3990,23246,9919,137,10327,10462,22,075,Louisiana,2016
"Washington Parish, Louisiana",46367,39.4,2.55,10397,2548,31155,13821,940,22871,23496,1436,465,1361,605,21284,17487,3797,12411,5076,82100,581,14978,110,323,21284,5221,338,3797,17487,31013,17957,2393,18274,11756,44472,15875,313,14992,15433,22,117,Louisiana,2016
"Acadia Parish, Louisiana",62372,35.8,2.71,13985,3196,49287,11168,1362,30297,32075,2199,659,1905,596,25867,22655,3212,16108,6547,91600,577,18997,154,668,25867,6868,331,3212,22655,39837,20887,2511,27581,12579,61011,25070,515,23931,24452,22,001,Louisiana,2016
